shot_no,width_coeff,x_coeff,y_coeff,flight_length,width_half_coeff,x_half_coeff,y_half_coeff,width_sc,x_sc,y_sc,ball_speed,launch_angle,azimuth,side_spin,back_spin
0,-0.0553412766754512,-0.01298389133389271,-0.07035135525842252,10,-0.0891270363562683,-0.010350477173429516,-0.08079645046603966,0.21421487552599022,0.7705521932710807,-0.3209023197228837,78.3,38.3,-6.5,-208,6631
1,-0.07828219078596729,-0.01995501678629421,-0.06893779143372865,8,-0.1829417611059223,-0.015579978635599864,-0.07714699185162414,-0.4667797914394442,0.7682459644425226,-0.21269872907590293,95.4,31.8,-7.8,-409,7804
2,-0.09904619607239017,-0.015911518288654454,-0.05928694250875541,8,-0.12877930727890421,-0.005099956844460868,-0.054398867149030875,0.4758576973034105,0.9176748564774704,0.7120133048686571,83.1,31.7,-7.3,-375,5652
3,-0.08616061035185404,-0.01898891164888856,-0.0655423393045903,8,-0.09553611933556043,-0.013890082769842639,-0.07031037186392997,-0.39415825232930035,0.8699006238438869,-0.008552211598898385,85.4,33.4,-8.7,-348,6039
4,-0.06169975940501011,-0.012625056329093243,-0.06776931173731922,7,-0.16753410005334693,-0.005214753350857395,-0.06640440865202243,-0.5736871828500716,0.9452561522513435,0.3737880130580826,89.1,33.8,-5.8,61,7049
5,-0.05463400021101362,-0.02390112027867629,-0.05785716160339565,10,-0.07197691844800032,-0.01815083178703002,-0.06304282650056502,0.2771487883139369,0.7717738827942167,0.15217087074633853,82.8,30.8,-10.3,-1362,5158
6,-0.0548208942065533,-0.015680212810843197,-0.07106256377388298,8,-0.19301617920871747,-0.01309109454388893,-0.08396224903544047,-0.12465630049964307,0.7670969759001491,-0.013960101416882665,88.9,34.2,-6.9,-176,6747
7,-0.10409467843068762,-0.008601807086585119,-0.06552749191544215,7,-0.13581234841531947,0.0004693894203247111,-0.0662373571525952,-0.43017212449950243,0.9655426197740604,-0.05550206673632031,96.7,30.7,-3.8,-564,7879
8,-0.03245810589632937,-0.002512631950743076,-0.07448686187855309,8,-0.14677097526053995,0.0074417041318959485,-0.0773976041450253,-0.8725267153722965,0.8836986870042451,-0.6843227044042776,87.3,37.0,-1.4,-191,5766
9,-0.13067732856462333,-0.0017625628983375845,-0.07722140751303277,6,-0.18514536863634626,0.0053860017450821146,-0.09092193066048569,-0.18333961027804035,0.8946689116228456,0.5689467997629372,91.8,35.2,-1.8,-23,6684
10,-0.04412016642666355,0.015587067446107515,-0.03167530001362972,12,-0.0613987704808383,0.031784250200380226,-0.03434332348684186,-0.1004106496300191,0.06239482639424977,0.08088214006418507,66.4,20.8,10.4,812,2258
11,-0.03190886376184208,0.015540608120813282,-0.027315715354895465,12,-0.025014482681715317,0.03681608047961413,-0.037808306186187954,0.33013554967380576,-0.28643704513394025,0.24044205526124,67.7,17.1,10.8,1053,1550
12,-0.04268652720109416,0.013830443994016615,-0.035414594760442196,12,-0.09056058317741393,0.030068391408944847,-0.04238303301017386,0.13399854557958718,0.11784046684225204,0.364625542110762,72.1,22.6,9.2,70,1748
13,-0.04308117065095553,0.028795996378032943,-0.030674144414218472,11,-0.11683943002851703,0.058454304977536245,-0.032725752639064444,-0.1656607048887487,-0.07736797613724186,-0.17517612710312835,70.6,18.7,22.1,-1361,3761
14,-0.04546160862326192,0.024938717920917525,-0.04632664816764286,10,-0.047487455948033205,0.044505381199185345,-0.04817519581351241,-0.5945885034221058,-0.23856032971510227,-0.31734345756435445,64.3,31.4,15.5,1679,3369
15,-0.07567025141608841,0.0012381018095300189,-0.06395578651471763,9,-0.10637169128174946,0.011794598909590894,-0.06302729287074939,-0.4362711840504087,0.8756598318857445,0.01901209907383678,89.6,32.5,-0.3,1132,7312
16,-0.06007358623075847,0.025894989751218137,-0.0483828075330838,8,-0.16653242967369253,0.04807300478255984,-0.05698486498022534,0.06156818943257167,0.06421420130039954,-0.23501965112687914,81.0,26.4,12.9,6989,7088
17,-0.04891977796314641,-0.027919679119472733,-0.05631059543460941,10,-0.07701082216960739,-0.023213978395684627,-0.05988315975541806,-0.24803693933587734,0.7049215246068848,-0.195397768328931,79.6,31.3,-12.1,-790,4267
18,-0.07865163425866598,-4.259781894441873e-05,-0.06414289303726559,7,-0.21457693265145963,0.009599091115932365,-0.06961009230909444,-0.1931840082861827,0.9059096273821673,0.04965823741854579,94.7,30.3,-0.9,1139,6465
19,-0.05629144792195738,-0.003958536634431556,-0.05690711885968193,8,-0.14113040038653255,0.003322770138539643,-0.07028265819199521,-0.2113077976099942,0.8381218046135464,-0.19688148949951537,90.1,28.6,-2.6,1059,5254
20,-0.053539735078330035,-0.0077598074189174915,-0.05340336358896201,9,-0.11991766884330482,-0.0009691124000791879,-0.05521604628558465,-0.3446009518010305,0.9066879179793702,-0.20042475807985916,85.8,28.8,-4.0,950,3869
21,-0.0533368849910369,-0.005438337891203281,-0.05766347206301766,9,-0.19154691235540783,0.002328296025926887,-0.060984389868875735,0.08067923420687058,0.947992673235868,-0.237843521858138,89.9,29.7,-2.9,512,4495
22,-0.07478779714222751,-0.005039301111822185,-0.06214700125669265,8,-0.18506976207329273,0.0024603029677498383,-0.06873818834441589,-0.22330068987069845,0.9319642835058022,-0.040864547077083174,93.3,30.5,-2.5,934,6331
23,-0.10811599641100886,-0.022102079266779324,-0.05450880178969812,8,-0.14883290398081353,-0.02171516168857377,-0.06757859302620792,-0.2618808944037473,0.26866518901152003,-0.21735744349940964,89.9,26.7,-8.5,-490,2929
24,0.020218206731095284,-0.006010652606747508,-0.06322765867836465,7,-0.09540310598570027,-0.0007117467768863779,-0.07719505132063567,-0.40128949922843077,0.8795169430658342,-0.27914189360070146,99.3,28.6,-2.9,867,6098
25,-0.13553724507813042,0.005446072459771325,-0.06499724438441921,5,-0.18884342159941772,0.015665573371234774,-0.06854894100198736,-0.6533207444122306,0.8100483230738617,-0.9729695985515027,120.3,23.3,-0.1,2522,5361
26,-0.06674631632950591,-0.022464787937034617,-0.07834150890688792,8,-0.11489767567683173,-0.015410882919949088,-0.07276622441774737,0.39547965234861304,0.8786986169647757,0.6304675504437571,96.7,36.4,-9.3,759,7612
27,-0.07367544642479648,0.002794171561985689,-0.0613210225778927,6,-0.25147596129376826,0.013856047646288935,-0.06413521347598876,-0.5678227272521094,0.8122849932786345,-0.3304553890739987,115.4,23.4,-0.1,3186,6148
28,-0.0902605792885337,-0.02083489986498958,-0.04615729290610931,8,-0.11404574668003063,-0.017407716900819017,-0.056442241808709444,-0.643773564584807,0.45607895058994874,0.10496906984753453,104.1,19.5,-7.5,5316,4854
29,-0.03872804733993669,-0.010517882310263554,-0.07030528633561552,9,-0.12307922282751659,-0.003166690052760689,-0.07251054751825166,-0.03941668656027792,0.9453436508952101,-0.6378049974884487,94.7,33.5,-4.5,1900,7296
30,-0.09195582067535217,-0.014198518927999984,-0.07111512281138979,7,-0.20260467754891917,-0.00734677189870586,-0.07871494339269677,-0.7006677337206673,0.9622176805332201,-0.06169220065923024,100.2,31.6,-6.2,2189,8057
31,-0.08212595546176038,-0.007141549040162946,-0.04098817322132357,6,-0.20585699671947522,-0.0021655562039295763,-0.050608249445403514,-0.22152471634456466,0.8147591530775034,-0.35893618975916547,112.9,14.3,-1.8,3969,4565
32,-0.03935827282637793,-0.0018618685006879846,-0.051261409873951516,6,-0.10185695809945734,0.005659639693359306,-0.0590233712621896,-0.4890133451960309,0.9658042298149428,-0.2652364394837921,109.8,20.5,-0.2,3732,5618
33,-0.05001394931759626,0.014167762301354334,-0.03737163176477114,10,-0.0955808884700254,0.03144276357644715,-0.045461152583972944,-0.10647790775621116,-0.1558274470841888,-0.006598995177694169,83.2,19.8,6.8,608,2269
34,-0.03217975992332293,0.021402074497156028,-0.02777052203585047,11,-0.11394342831883651,0.0452808226615958,-0.03214639718018418,-0.16030208857462588,0.040604531376655734,0.15440191880524673,64.9,18.9,14.8,1307,1236
35,-0.04680476592792702,0.007111139722531942,-0.05752290099603683,8,-0.10409180711755855,0.020304718654731917,-0.06647233672548161,-0.32372029653481343,0.26990527554266863,-0.08115737285758419,93.8,28.2,2.4,2471,5604
36,-0.05194960590622815,-0.00562537318863549,-0.04678873934552651,9,-0.04561607550355857,0.0022137676765679876,-0.050753674158487284,-0.8073835533206623,0.9718585375487298,-0.3848611961547549,92.9,23.3,-2.7,1713,3998
37,-0.03677064082394047,-0.027414287169417798,-0.058323631437726633,8,-0.14081809745203214,-0.02372613502412275,-0.05950543685078066,-0.4840586480573439,0.5667477785643865,-0.0457035867504338,86.8,30.4,-11.7,38,5524
38,0.026939618402482764,0.011521010959271355,-0.058438837391383856,6,-0.06917826135981488,0.025878074989327808,-0.06566805573098096,0.2835599876497117,0.6796010535781037,-0.528773324977566,99.9,26.0,3.5,2041,6596
39,-0.0734325282879282,0.0029953393130056224,-0.05588807931676868,7,-0.07576857016975169,0.011668137336382063,-0.06508601872989887,-0.2546165709929798,0.6721079027425085,-0.334993160123789,104.1,24.6,1.4,2164,5980
40,-0.058840884950347117,-0.007433974255012712,-0.060650393434607104,6,-0.13856296391251124,-0.0006738638995632738,-0.06466596901729159,-0.12116163006583881,0.9417815835521046,-0.4746093250418358,98.6,28.0,-3.5,1430,6099
41,-0.08745708547844291,0.00866116361282068,-0.0538826084690373,6,-0.14677016357552242,0.021022459384888253,-0.058206247000554746,-0.3184400748915959,0.5301815049272047,-0.6348964697742978,93.7,25.8,3.5,4467,6148
42,0.002083718827537491,0.009035491814623054,-0.056372646866420524,6,-0.08104975474402944,0.022931652995325177,-0.0681214129995162,-0.41409490566300783,0.44887870745886543,-0.6712952596890062,95.1,27.0,3.4,3101,6247
43,-0.05451432287832465,-0.00966218475139696,-0.05414150441032736,7,-0.1200270051155868,-0.0060622298894138235,-0.06944495377067537,-0.3882379830601023,0.7872031625716919,-0.2374670370051648,101.7,23.9,-3.9,513,4309
44,0.11460981320705112,-0.0006016680309425543,-0.07225895082185128,6,0.20998322313275705,0.0045406122397073385,-0.09698930365855844,-0.6937106320047358,0.9517257956167589,0.5519808442605499,103.7,29.8,-0.9,2501,6948
45,-0.09507546806839941,-0.008180424796907745,-0.05927827493105746,7,-0.19037016881249658,-0.0017046903552014865,-0.06778650275470545,-0.7652300809503275,0.9326182912227037,-0.3540738607815367,109.0,24.3,-2.9,3896,6722
46,-0.052521807947484685,-0.029124956373360145,-0.09193887375016417,7,-0.07909818056995399,-0.028800481323954203,-0.1031156558012067,0.5850861569556618,0.08011907111911494,0.9514714319533434,76.9,46.9,-14.5,-670,6842
